info,timestamp
1TPH74LX1G4JI47NF2,7:33:17 AM
1TPJ21RX1G4PQ5BAFU,7:33:36 AM
1TOUVEDX16BJMN8AFC,7:33:39 AM
1TOU65UX1EQA9P7ASS,7:34:19 AM
1TP7O3HX1D3RSA3AFE,7:34:50 AM
1TPFLMOX1E04ULUAFP,7:34:52 AM
1TPG1Q2X1G7T2AQAF5,7:34:54 AM
1TP6PFIX11UF3G0AFH,7:35:01 AM
1TP9NADX1FJ6S4EAFK,7:35:02 AM
1TP0H1LX1G15890AFI,7:35:04 AM
1TP3P6VX1G806HLAF2,7:35:08 AM
1TP1B87X1DRAK8BAFT,7:35:19 AM
1TP0TVRX1ESES7MAF5,7:35:21 AM
1TP3880X1FKUVPTAF9,7:35:55 AM
1TPDUIOX1FTNBFFAF6,7:35:57 AM
1TOT5PDX1FKVKR5NFP,7:35:59 AM
1TOUCIOX1FS6S9NAF4,7:36:01 AM
1TPF5S1X12351I6AFI,7:36:03 AM
1TOUBAQX1FQ0JQLAFJ,7:36:04 AM
1TP5UA0X1FSK9S0AFU,7:36:06 AM
1TOP4CVX1648BNAAFM,7:36:17 AM
1TOPAIGX1G2QM3ENFP,7:36:20 AM
1TPB2JCX1G897ACAFH,7:36:22 AM
1TP62A4X1G4C118NF4,7:36:23 AM
1TP2NSHX1G8RTPCAFW,7:36:27 AM
1TOTUU2X1GCCSM9AF2,7:36:32 AM
1TP0HVAX1G5LVT9AF7,7:36:40 AM
1TOUV6KX1FQ6B2BAFT,7:36:48 AM
1TOQ6ESX151TKR6AF8,7:36:49 AM
1TOTB4PX166FG04AF1,7:36:51 AM
1TPLDD5X1G1VV7MNFS,7:36:53 AM
1TPDMHIX1G82RBIAFK,7:37:32 AM
1TP5F91X16LCUFUAFX,7:37:33 AM
1TP1056X1GB5ROIAFV,7:37:37 AM
1TPAQ22X1G7B2EMAF0,7:37:39 AM
1TP0UD8X152MPMPAAH,7:37:42 AM
1TPKFJQX1GA0LUJAAS,7:37:44 AM
1TP8F9PX1GBK35QAFF,7:37:45 AM
1TP2P19X1G788I6AF3,7:37:47 AM
1TONCV6X1G46H9DAFE,7:37:51 AM
1TPGEHKX1GCLAGSAF6,7:37:52 AM
1TPHBVVX1G7GQ1VNFK,7:37:54 AM
1TORDUJX1G2ND48VF5,7:37:55 AM
1TPL31GX1FQGH26AFP,7:37:58 AM
1TP24GEX1G8R6LHAM0,7:40:14 AM
1TP9760X1679IIJAFO,7:40:28 AM
1TPHHV9X16JPC5AAMY,7:41:19 AM
1TP6GQ1X1G58UU6AF5,7:42:44 AM
1TPH0ONX1G85S7SAFF,7:42:45 AM
1TPDN3FX1FKNLQLAFN,7:42:49 AM
1TOUE42X1G8THVRAFL,7:42:51 AM
1TPCT3BX1FTS5B9AFM,7:42:52 AM
1TORHEEX1FT1PPNAFX,7:42:55 AM
1TONBJLX1G2L2ICAFM,7:43:01 AM
1TPCB4SX1G2IU1CAFZ,7:43:03 AM
1TPIS1SX1G1ENOVAFH,7:43:04 AM
1TPE0BTX1G1OHVHAFL,7:43:07 AM
1TP4KIIX1FPKSUPAF4,7:43:07 AM
1TP0TFRX1G0OAEPAF1,7:43:09 AM
1TPAJSIX1DKP8GGAMF,7:44:27 AM
1TP90QCX1E95M8CAF0,7:44:29 AM
1TPK5MKX1G7USD3AFJ,7:44:37 AM
1TOUJH6X15R4KBPAFX,7:44:39 AM
1TP98RNX14NAFJCAFT,7:45:02 AM
1TP1VI8X0VVN5VQAFH,7:45:05 AM
1TOQE74X1GABDB3ASB,7:45:18 AM
1TPKUGLX1G7VBE2AS2,7:45:21 AM
1TOQ7QIX1G44PRGASX,7:45:23 AM
1TPDVBUX11LILO0CFG,7:46:12 AM
1TP1TN0X1G3QIE7AMK,7:46:20 AM
1TP4Q6GX1G8KSEDAM5,7:46:21 AM
1TP1AVAX1ESND0AAFK,7:46:28 AM
1TPCPAFX1FK3LLMAF9,7:46:29 AM
1TOR844X168EJT0AM1,7:46:41 AM
1TONBUSX15B6NN7AF3,7:46:47 AM
1TOT92AX15RNI5SAFI,7:46:49 AM
1TP0CR2X15OT3MQAF2,7:49:59 AM
1TOQRMRX1E6GA4KAF6,7:50:52 AM
1TOSUC2X15OA6R7AFK,7:50:58 AM
1TPJ5L1X1G8CP4MAMX,7:51:28 AM
1TP6P2FX1G67H1LAMK,7:51:30 AM
1TP8PE3X1G7HIHJAMZ,7:51:46 AM
1TPF5S3X15DDUKPAFV,7:52:40 AM
1TP1VETX1GBHL49AF7,7:52:44 AM
1TPI675X1BJ7KCRAF4,7:53:21 AM
1TPBK0TX1G68J9EAFU,7:53:23 AM
